,Column Labels,,,,,,,,,
Central Bank of Lake of the Ozarks,460000,336000,442000,246000,2,2,2,3,1484000,9
"MidSouth Bank, N.A.",,1152500,,330000,,1,,1,1482500,2
First Farmers & Merchants Bank,,155000,695000,630900,,3,3,5,1480900,11
Bank of Hydro,,,858900,617300,,,4,3,1476200,7
Peoples Community Bank,,1475000,,,,1,,,1475000,1
Bank Star One,,,,1474840,,,,1,1474840,1
First National Bank of Waterloo,125000,948400,400000,,2,3,1,,1473400,6
Granite Community Bank,665870,802900,,,6,5,,,1468770,11
Sound Bank,,865000,90000,510000,,2,2,3,1465000,7
York State Bank,1118300,150000,,195000,1,1,,1,1463300,3
Westside State Bank,1392000,70000,,,2,1,,,1462000,3
PeoplesBank,403700,600000,350000,100000,4,4,2,1,1453700,11
Hawaii National Bank,,,208000,1243500,,,2,7,1451500,9
Justine Petersen Housing & Reinvestment Corporation,399600,644800,254800,150000,4,8,3,1,1449200,16
Flanagan State Bank,,,,1447250,,,,3,1447250,3
Lake Area Bank,369500,736000,,336000,2,1,,1,1441500,4
Platte Valley Bank of Missouri,,66400,100000,1275000,,1,1,1,1441400,3
"F C N Bank, National Association",122000,40000,623400,649500,1,1,6,6,1434900,14
The Exchange Bank of Alabama,,,,1421067,,,,2,1421067,2
First Fidelity Bank,,200000,445000,775100,,1,3,1,1420100,5
Bonanza Valley State Bank,42500,582800,281500,507000,2,7,3,5,1413800,17
The Clinton National Bank,,858500,455000,100000,,3,4,2,1413500,9
First Farmers and Merchants Bank,,,550000,860000,,,6,6,1410000,12
Citizens Independent Bank,202000,150000,,1055000,3,1,,1,1407000,5
AltaPacific Bank,,710000,695000,,,2,1,,1405000,3
Penobscot County FCU,,350800,477400,573000,,3,7,4,1401200,14
Jefferson Financial FCU,230000,925000,246000,,1,2,2,,1401000,5
American State Bank & Trust Company,,1400000,,,,1,,,1400000,1
First Citizens FCU,,,1400000,,,,1,,1400000,1
The Central National Bank of Poteau,,,,1400000,,,,1,1400000,1
South Atlantic Bank,,,,1400000,,,,2,1400000,2
Guardian CU,184100,,1215000,,1,,1,,1399100,2
United Bank of Union,109200,448000,415000,426000,1,4,3,3,1398200,11
4Front CU,275000,1022500,,100000,1,7,,1,1397500,9
Gorham Savings Bank,1277200,114000,,,6,1,,,1391200,7
Solera National Bank,1060200,,330000,,1,,1,,1390200,2
Bank of Bolivar,,700000,275000,415000,,1,1,4,1390000,6
The Washington Trust Company of Westerly,280000,255000,362500,492500,3,4,6,4,1390000,17
Lower East Side People's FCU,120000,729000,225000,315000,2,11,4,5,1389000,22
"Chain Bridge Bank, National Association",350000,50000,514300,470000,4,1,4,6,1384300,15
West Texas State Bank,562700,820000,,,4,4,,,1382700,8
Ascentra CU,,147000,418246,803000,,3,7,3,1368246,13
The Peoples Community Bank,,377000,350000,640000,,1,1,1,1367000,3
Kalamazoo County State Bank,,131000,35000,1200000,,1,1,1,1366000,3
"WBD Advantage Fund, LLC",,270000,304000,791500,,2,3,6,1365500,11
Royal Bank,425500,300000,,635469,4,2,,3,1360969,9
Lake Shore Savings Bank,350000,474400,536300,,2,8,4,,1360700,14
"Community Development Bank, FSB",1360000,,,,1,,,,1360000,1
Ledyard National Bank,1150000,200000,10000,,2,1,1,,1360000,4
Plains Commerce Bank,791900,300000,185000,80000,5,1,2,1,1356900,9
Community Bank & Trust,,616300,,740000,,3,,5,1356300,8
Applied Bank,,,,1355000,,,,3,1355000,3
Vermont FCU,324700,199000,283600,520500,3,7,6,5,1327800,21
Farmers State Bank & Trust Co.,,327600,1000000,,,2,1,,1327600,3
Biddeford Savings Bank,,,1323000,,,,4,,1323000,4
First Vision Bank of Tennessee,120000,901000,300000,,1,3,1,,1321000,5
Putnam Bank,,,,1320000,,,,1,1320000,1
Santa Cruz Community CU,225000,,335000,755000,2,,1,5,1315000,8
Libertyville Bank & Trust Company,,,1311000,,,,2,,1311000,2
San Francisco Fire CU,,,760000,550000,,,9,5,1310000,14
New Market Bank,350834,802000,125000,30000,4,6,2,1,1307834,13
"South County Bank, National Association",,,1300000,,,,1,,1300000,1
Tradition Capital Bank,,,,1300000,,,,1,1300000,1
First Federal Savings Bank of Twin Falls,642600,511500,142300,,2,2,1,,1296400,5
The Citizens Bank of Weston,,345100,50000,900000,,1,1,2,1295100,4
1st United Bank,,,960000,330000,,,2,3,1290000,5
MutualOne Bank,,,154000,1136000,,,2,5,1290000,7
Enbright CU,,775000,295000,219000,,2,1,2,1289000,5
West Bank,,,900000,384000,,,3,4,1284000,7
First National Bank in Fairfield,,,1282500,,,,1,,1282500,1
Greylock FCU,,573500,387000,320000,,7,8,9,1280500,24
The Lowell Five Cent Savings Bank,375800,430000,100000,374000,2,2,1,3,1279800,8
First Nebraska Bank,130000,1027500,,120000,1,2,,1,1277500,4
Sage Capital Bank,224000,837300,,212300,1,2,,1,1273600,4
Country Bank for Savings,36300,1112400,50000,72000,2,12,1,1,1270700,16
The Trust Bank,,580000,690000,,,1,1,,1270000,2
Star Bank,70000,712000,211500,272900,1,5,5,5,1266400,16
Bank Mutual,,,846100,415000,,,6,2,1261100,8
First Volunteer Bank,1111000,,,150000,1,,,1,1261000,2
Mutual Bank,256000,,,1005000,1,,,5,1261000,6
First United Bank,35000,,555300,667300,1,,3,6,1257600,10
Carolina Alliance Bank,,387000,,868300,,1,,3,1255300,4
NorStates Bank,,1250000,,,,3,,,1250000,3
Providence Bank & Trust,,,500000,750000,,,1,2,1250000,3
Wilson & Muir Bank & Trust Company,,742500,323000,182500,,3,4,3,1248000,10
First National Bank of Pulaski,,225000,161900,855000,,1,3,8,1241900,12
Riverland Bank,,738000,500000,,,3,2,,1238000,5
Farmers and Merchants State Bank of Blooming Prairie,,755000,200000,281000,,1,2,4,1236000,7
Worthington National Bank,,,655400,578700,,,2,3,1234100,5
Hills Bank and Trust Company,250000,,188000,790000,1,,2,7,1228000,10
FlatIrons Bank,,400000,515000,310000,,1,1,1,1225000,3
United Bank of Michigan,315000,556800,,351000,1,2,,1,1222800,4
SCE FCU,,,982500,239000,,,2,2,1221500,4
Community Commerce Bank,569000,,650000,,1,,1,,1219000,2
Landmark Bank,67500,520900,250000,377300,1,5,4,2,1215700,12
The First National Bank of River Falls,319000,,892500,,2,,3,,1211500,5
Wheaton Bank & Trust Company,350000,150000,710000,,2,1,3,,1210000,6
Marion County Savings Bank,,331000,578500,300000,,2,4,2,1209500,8
Seattle Economic Development Fund dba Community Ca,,142800,365000,700000,,2,3,4,1207800,9
Gateway State Bank,,403200,452600,351000,,1,2,4,1206800,7
First Northern Bank of Dixon,,,,1200000,,,,1,1200000,1
Frankenmuth CU,,,1200000,,,,1,,1200000,1
Hickory Point Bank and Trust,,,,1200000,,,,1,1200000,1
American Heritage National Bank,212500,386500,373000,226000,6,6,7,5,1198000,24
The Peoples State Bank,,,1198000,,,,1,,1198000,1
Beach Community Bank,,,1059400,136600,,,1,1,1196000,2
Bank of Cave City,1195000,,,,1,,,,1195000,1
"First Trust & Savings Bank of Albany, Illinois",,,,1190000,,,,1,1190000,1
SIU CU,,,1187900,,,,1,,1187900,1
GFA FCU,171000,103000,204500,705000,1,3,5,9,1183500,18
Grand Valley Bank,,813900,300000,67500,,5,2,1,1181400,8
River City Bank,1178000,,,,1,,,,1178000,1
"University of Virginia Community CU, Inc.",43400,211600,379529,542617,2,6,11,12,1177146,31
Drummond Community Bank,476800,700000,,,2,2,,,1176800,4
SELCO Community CU,,249300,32500,894800,,1,1,3,1176600,5
Crossroads Bank,93000,,406752,669000,3,,4,4,1168752,11
Neighborhood Development Center,,,430000,738000,,,3,4,1168000,7
Community State Bank of Rock Falls,,,1167000,,,,1,,1167000,1
Salisbury Bank & Trust Company,220000,775000,47000,120000,1,4,1,3,1162000,9
CHROME FCU,,1161000,,,,1,,,1161000,1
Pinnacle Bank-Wyoming,,,1160300,,,,2,,1160300,2
"Farmers and Merchants Bank of Mound City, Kansas",50000,565000,370000,175000,1,4,4,2,1160000,11
First National Bank & Trust Company of McAlester,,1160000,,,,1,,,1160000,1
Columbus Bank & Trust Company,193000,50000,160000,755400,1,1,2,1,1158400,5
"Farm Credit of South Florida, ACA",,1150000,,,,1,,,1150000,1
Kentucky Highlands Investment Corporation,,,,1150000,,,,5,1150000,5
Security First Bank,,220000,,928000,,2,,6,1148000,8
Carolina Business Capital,,1147000,,,,9,,,1147000,9
Digital FCU,,,857000,290000,,,5,4,1147000,9
Lea County State Bank,,,849400,290100,,,3,2,1139500,5
First Eagle Bank,,188000,271000,680000,,1,1,3,1139000,5
Ouachita Valley FCU,,196000,669400,272500,,2,6,3,1137900,11
Denver Savings Bank,235000,,900000,,1,,1,,1135000,2
Wright Patt CU Inc,,396900,305000,430000,,1,2,1,1131900,4
Pennian Bank,,,,1125000,,,,1,1125000,1
Austin Capital Bank SSB,,,1124157,,,,1,,1124157,1
Affinity Bank,,912900,,210000,,1,,1,1122900,2
Purdue FCU,871000,,250000,,1,,1,,1121000,2
Fairport Savings Bank,1020000,,,100000,1,,,1,1120000,2
Union State Bank of Hazen,100000,97000,379800,541400,1,2,5,4,1118200,12
Eagle Bank,,,975000,140000,,,2,1,1115000,3
"First Bankers Trust Company, National Association",100000,282200,730100,,1,1,9,,1112300,11
Salem Co-operative Bank,447600,660800,,,7,10,,,1108400,17
Skyline National Bank,350100,483000,275000,,6,5,4,,1108100,15
Northwoods Bank of Minnesota,25000,359500,395100,327252,1,5,2,4,1106852,12
The Brattleboro Savings & Loan Association,,1075000,,30000,,3,,1,1105000,4
County Bank,,15000,759000,330000,,1,6,2,1104000,9
The Citizens Bank of Edmond,634000,444560,,25000,6,3,,1,1103560,10
Points West Community Bank,,,490000,613200,,,1,2,1103200,3
South Carolina Community Bank,1099500,,,,9,,,,1099500,9
The Stockton National Bank,,,1096200,,,,1,,1096200,1
Community Bank Owatonna,80000,240000,295833,479200,1,3,4,8,1095033,16
The Southern Bank Company,,100000,995000,,,1,2,,1095000,3
Charles River Bank,,,715000,377500,,,3,4,1092500,7
First Independent Bank,,666400,228100,196700,,6,6,3,1091200,15
"BCBank, Inc",,125000,965000,,,2,6,,1090000,8
Jefferson Bank of Missouri,345000,297000,111000,336000,4,4,1,1,1089000,10
Security Bank of Kansas City,,576000,505000,,,1,2,,1081000,3
The Elberfeld State Bank,,,,1080800,,,,2,1080800,2
Vermont State Empl CU,39000,50000,273000,718400,3,1,5,11,1080400,20
Collins State Bank,,473000,138000,466857,,3,1,1,1077857,5
First FarmBank,,1075000,,,,2,,,1075000,2
The State Bank of Townsend,,1022000,49400,,,3,1,,1071400,4
Claremont Savings Bank,,60000,352700,657500,,1,1,4,1070200,6
CharterWest Bank,,62600,652500,350000,,1,3,1,1065100,5
The National Bank of Coxsackie,,1059300,,,,1,,,1059300,1
FirstOak Bank,,,294000,762000,,,1,1,1056000,2
CASE CU,75000,75000,480000,425000,1,1,3,2,1055000,7
U T FCU,120000,97600,213000,624100,2,3,4,9,1054700,18
Savings Institute Bank and Trust Company,439500,,150000,462800,3,,1,7,1052300,11
"Old Plank Trail Community Bank, National Association",,,1052000,,,,8,,1052000,8
Monroe Bank & Trust,,148000,585000,315000,,1,1,2,1048000,4
Virginia Partners Bank,315000,500000,232000,,2,3,1,,1047000,6
Northwest Bank of Rockford,515100,530000,,,2,2,,,1045100,4
AmeriChoice FCU,,,1045000,,,,1,,1045000,1
"AgGeorgia Farm Credit, FLCA",,,,1045000,,,,1,1045000,1
First Texas Bank,766900,275000,,,5,1,,,1041900,6
North Brookfield Savings Bank,30000,340800,165000,499000,1,8,4,6,1034800,19
Iowa State Savings Bank,461400,500000,72000,,1,1,1,,1033400,3
MidWest America FCU,,700000,332600,,,2,1,,1032600,3
Frazer Bank,,,,1030500,,,,2,1030500,2
Hudson Valley FCU,100000,75000,402000,450000,1,1,4,2,1027000,8
Sauk Valley Bank & Trust Company,,,1027000,,,,1,,1027000,1
Cass County Bank,90000,,800000,135000,1,,1,1,1025000,3
First South Farm Credit,,,,1022900,,,,1,1022900,1
"Prestamos CDFI, LLC",,963000,54000,,,5,1,,1017000,6
Geauga Savings Bank,225000,790700,,,1,1,,,1015700,2
Sherburne State Bank,,,350000,664000,,,1,4,1014000,5
Machias Savings Bank,,,170000,839000,,,3,6,1009000,9
First Community Bank and Trust,,350000,654444,,,1,1,,1004444,2
PrimeTrust Financial FCU,,,540600,462300,,,3,2,1002900,5
First County Bank,,1000000,,,,1,,,1000000,1
"Waterford Bank, National Association",,400000,,600000,,1,,1,1000000,2
First Community National Bank,,,134000,861500,,,1,6,995500,7
The National Bank of Indianapolis,350000,144600,500000,,1,2,1,,994600,4
Badger Bank,994500,,,,2,,,,994500,2
Bay Bank,,,,994000,,,,1,994000,1
The Bank of Canton,,100000,150000,740000,,1,2,6,990000,9
Cambridge Trust Company,,350000,500000,130000,,1,1,2,980000,4
"Patriot Bank, National Association",980000,,,,2,,,,980000,2
The Bank of Bennington,,,777700,200000,,,4,2,977700,6
Seaboard FCU,106000,193000,678400,,2,6,10,,977400,18
"First American Bank, National Association",,75000,701500,200000,,2,3,2,976500,7
American State Bank & Trust Company of Williston,,750000,225000,,,3,2,,975000,5
The National Bank of Blacksburg,100000,500000,250000,125000,1,2,1,3,975000,7
Meijer CU,,,391200,581000,,,1,2,972200,3
Cape Ann Savings Bank,175000,295000,100000,400000,1,2,1,2,970000,6
1st Security Bank of Washington,610000,,,350000,2,,,1,960000,3
Availa Bank,134600,,825200,,1,,2,,959800,3
Texas Trust CU,180000,350000,428000,,2,2,1,,958000,5
The First National Bank of Carmi,,,807500,150000,,,2,1,957500,3
Haverhill Bank,35000,135000,490000,295000,1,3,2,2,955000,8
United American Bank,,,,955000,,,,1,955000,1
Money One FCU,,,,953100,,,,2,953100,2
Nebraska Bank of Commerce,,100100,700000,150000,,1,4,1,950100,6
Securant Bank & Trust,,,950000,,,,1,,950000,1
Security Bank Minnesota,150000,275000,200000,325000,2,3,2,3,950000,10
Upper Peninsula State Bank,,,945800,,,,2,,945800,2
Tri-County Bank,,,944600,,,,1,,944600,1
University FCU,260000,680000,,,1,3,,,940000,4
Great Basin FCU,150000,160000,319000,310500,1,3,2,4,939500,10
1st Bank in Hominy,,,,938400,,,,1,938400,1
Spectra Bank,495000,,120000,323400,1,,1,1,938400,3
Dakota Plains FCU,,,935000,,,,1,,935000,1
International Bank of Chicago,,,,935000,,,,1,935000,1
Jacksonville Savings Bank,,,,935000,,,,1,935000,1
InTouch CU,215000,,720000,,1,,1,,935000,2
Woodforest National Bank,,370000,562500,,,1,1,,932500,2
Barksdale FCU,,,,930000,,,,1,930000,1
Liberty Bay CU,125000,343000,,461100,3,1,,4,929100,8
SharePoint CU,,439000,490000,,,4,2,,929000,6
Pioneer Bank & Trust,50000,274300,435000,165800,1,2,2,1,925100,6
"Community First Bank, Inc.",775000,150000,,,1,1,,,925000,2
Silver Lake Bank,35000,362300,177000,350600,2,2,3,4,924900,11
Columbia Community CU,924000,,,,3,,,,924000,3
Eaton Federal Savings Bank,,923500,,,,2,,,923500,2
"New Horizon Bank, National Association",350000,120000,150000,290000,2,1,1,3,910000,7
Madison County Community Bank,,907500,,,,1,,,907500,1
Acadia FCU,258700,,60000,585900,3,,2,2,904600,7
Charlevoix State Bank,,,900000,,,,2,,900000,2
Iowa Trust and Savings Bank,,,900000,,,,1,,900000,1
"FNB Bank, Inc.",,593500,50000,254900,,5,1,3,898400,9
Foresight Bank,164500,178500,200000,350000,2,2,2,1,893000,7
Manufacturers Bank & Trust Company,,531500,357300,,,2,2,,888800,4
SouthPoint Bank,,203000,,685300,,1,,1,888300,2
Oklahoma Central CU,,57000,141000,688000,,2,4,11,886000,17
Grapeland State Bank,,,443000,442400,,,1,1,885400,2
The Citizens State Bank,,,160000,720000,,,2,2,880000,4
The Miners State Bank,,,,875000,,,,1,875000,1
The First National Bank of Bastrop,,189800,685000,,,3,2,,874800,5
"The First National Bank and Trust Company, Chickasha, Oklaho",575600,68600,228000,,1,2,2,,872200,5
California Statewide Certified Development Corporation,384000,250500,234000,,2,2,2,,868500,6
North Star Bank,,867500,,,,2,,,867500,2
Harborstone CU,,240000,300800,325900,,1,4,5,866700,10
Friend Bank,195000,464000,,200000,1,1,,2,859000,4
Twin City Bank,,,184000,675000,,,1,1,859000,2
Home State Bank/National Association,20500,431000,363900,40000,1,4,4,1,855400,10
Greenville National Bank,,,,855000,,,,1,855000,1
Synergy Bank,,670000,50000,135000,,2,1,1,855000,4
Sacramento CU,,,852500,,,,1,,852500,1
Empower FCU,,142000,665000,45000,,1,1,1,852000,3
"BankWest, Inc",,850000,,,,2,,,850000,2
Bank of Terrell,,,847500,,,,1,,847500,1
Self-Help CU,,215000,150000,480100,,1,1,3,845100,5
E-Central CU,29000,760000,54900,,1,3,1,,843900,5
F & M Bank,,507500,235000,100000,,3,1,1,842500,5
Marion & Polk Schools CU,500000,341800,,,2,4,,,841800,6
BankGloucester,,180000,125000,535000,,2,1,2,840000,5
Torrington Savings Bank,106600,305000,225000,200000,2,4,2,1,836600,9
Collins Community CU,,66600,299600,469500,,2,4,5,835700,11
East Cambridge Savings Bank,,,250000,585000,,,1,3,835000,4
Citizens Bank & Trust Company,,,183000,650000,,,2,2,833000,4
Union National Bank & Trust Company,150000,623900,58100,,1,4,2,,832000,7
The Bank and Trust of Bryan/College Station,65000,150000,,615400,1,1,,3,830400,5
Safe-Bidco,,150000,375000,300000,,1,2,2,825000,5
New Frontier Bank,501000,132500,190000,,2,3,2,,823500,7
WESTconsin CU,100000,177000,540400,,1,6,4,,817400,11
ANB Bank,,40000,350000,420600,,1,2,2,810600,5
Pathways Financial CU,,263900,265000,275000,,3,6,2,803900,11
Horicon Bank,,,613900,186800,,,1,2,800700,3
First Ipswich Bank,227500,139000,431000,,2,3,6,,797500,11
Drake Bank,,139000,470000,188000,,1,2,2,797000,5
Vermillion State Bank,,,225000,570000,,,1,3,795000,4
The Bank of Washington,,200000,,593000,,1,,2,793000,3
Bank of the Bluegrass & Trust Company,90000,149000,551900,,1,2,3,,790900,6
The Upstate National Bank,315000,,,475000,2,,,3,790000,5
The National Bank of Adams County of West Union,,,,789700,,,,3,789700,3
New Carlisle Federal Savings Bank,500000,,,288300,2,,,3,788300,5
Financial Plus CU,,,279400,506000,,,1,1,785400,2
Bank of Lake Mills,97000,120000,288000,275000,1,2,2,1,780000,6
Bridge Community Bank,,350000,220000,210000,,1,3,2,780000,6
Welcome State Bank,,603200,80000,96700,,5,1,1,779900,7
Dover FCU,288000,491000,,,1,1,,,779000,2
Mississippi River Bank,,,776400,,,,1,,776400,1
Bank of Geneva,,775000,,,,1,,,775000,1
Mansfield Co-Operative Bank,550000,50000,75000,100000,1,1,1,1,775000,4
"Vermont Community Loan Funs, Inc.",,365000,108000,300000,,2,3,3,773000,8
Gogebic Range Bank,,30000,382500,360000,,1,2,2,772500,5
"First Citizens Bank of Polson, National Association",,107600,579000,85000,,2,5,1,771600,8
The First National Bank in Staunton,,249300,520000,,,1,2,,769300,3
"Natural Capital Investment Fund, Inc.",,250000,518300,,,2,3,,768300,5
U.P. Catholic CU,,204000,370000,194000,,2,2,3,768000,7
Empire National Bank,765000,,,,1,,,,765000,1
CoVantage CU,209300,,553600,,1,,3,,762900,4
"Standard Bank, PaSB",,,475000,284500,,,5,2,759500,7
Hope FCU,110000,459000,150000,40000,1,2,1,1,759000,5
The North Salem State Bank,,,,753000,,,,3,753000,3
Bank of Wisconsin Dells,,,,750000,,,,2,750000,2
The American National Bank of Beaver Dam,,150000,100000,500000,,1,1,2,750000,4
QNB Bank,,335200,412000,,,1,1,,747200,2
Nizari Progressive FCU,,464800,280000,,,2,1,,744800,3
State Bank,,,463000,281000,,,1,2,744000,3
Bank of Sun Prairie,100000,332000,60000,250000,1,3,1,1,742000,6
Lee Bank,,390000,300000,50000,,5,2,1,740000,8
The Bank National Association,312600,,200000,224000,3,,1,1,736600,5
Parkway Bank & Trust Company,,410600,325000,,,2,1,,735600,3
"Granite Mountain Bank, Inc.",581000,150000,,,1,1,,,731000,2
"F & M Community Bank, National Association",710000,,,20000,1,,,1,730000,2
Summit National Bank,,,,729000,,,,1,729000,1
A+ FCU,,550000,80000,98000,,2,1,1,728000,4
Western States Bank,,,75000,650000,,,2,5,725000,7
Valley Bank of Ronan,,725000,,,,1,,,725000,1
Security Bank & Trust Company,,724000,,,,1,,,724000,1
"First Bank, Upper Michigan",,720000,,,,1,,,720000,1
KodaBank,,,,720000,,,,4,720000,4
"Forcht Bank, National Association",236300,,,480000,1,,,3,716300,4
Audubon Savings Bank,,,715000,,,,1,,715000,1
Christian Financial CU,,610000,100000,,,1,1,,710000,2
Pearland State Bank,,,706100,,,,1,,706100,1
Meramec Valley Bank,,325000,200000,180000,,1,1,2,705000,4
Iowa State Bank,60000,,50000,594000,1,,1,4,704000,6
Elsa State Bank & Trust Co.,478200,,,225000,1,,,1,703200,2
Essential FCU,145000,555640,,,2,6,,,700640,8
Ossian State Bank,,,,700000,,,,2,700000,2
The First National Bank in Creston,700000,,,,1,,,,700000,1
Bank of Tennessee,,,604500,93800,,,3,1,698300,4
Northern Community Investment Corporation,,205000,,490000,,2,,3,695000,5
Citizens 1st Bank,,690400,,,,3,,,690400,3
BankStar Financial,689000,,,,1,,,,689000,1
5Star Bank,,385000,125000,175600,,3,1,1,685600,5
BankFirst,,488000,50000,147000,,2,2,1,685000,5
"Resource Bank, National Association",,565000,70000,50000,,3,1,2,685000,6
Singing River FCU,684500,,,,1,,,,684500,1
First Bank Richmond,,,137335,545000,,,1,2,682335,3
Michigan Schools & Government CU,75000,256000,350000,,1,1,1,,681000,3
Shore United Bank,,78900,600000,,,3,1,,678900,4
Houston FCU,,677000,,,,2,,,677000,2
Lamar National Bank,,670000,,,,1,,,670000,1
Community First National Bank,135000,,479100,55500,3,,6,2,669600,11
St. Mary's Bank,40000,70000,215000,343400,2,2,6,6,668400,16
The Bennington State Bank,,,,668000,,,,6,668000,6
The Port Washington State Bank,394500,,,270700,4,,,2,665200,6
Citizens National Bank of Greater St. Louis,338000,,325000,,1,,1,,663000,2
Premier Bank Rochester,,25000,238000,400000,,1,1,2,663000,4
Savers Co-Operative Bank,,,,662400,,,,1,662400,1
Skowhegan Savings Bank,,142000,80000,440000,,1,2,2,662000,5
Belco Community CU,,658500,,,,1,,,658500,1
American National Bank of Minnesota,,,308500,350000,,,4,2,658500,6
First National Bank of Gillette,300000,,256000,100000,1,,2,1,656000,4
I H Mississippi Valley CU,238000,417500,,,1,2,,,655500,3
De Witt Bank & Trust Co.,,,345000,310000,,,1,1,655000,2
Bloomsdale Bank,,,,650000,,,,1,650000,1
Grand Savings Bank,350000,300000,,,1,4,,,650000,5
Saco & Biddeford Savings Institution,,150000,325000,175000,,1,3,2,650000,6
Vibe CU,,648100,,,,2,,,648100,2
Century Bank and Trust,,646000,,,,1,,,646000,1
First National Bank Albany/Breckenridge,475000,38800,,130000,2,1,,1,643800,4
Southwest Capital Bank,640000,,,,1,,,,640000,1
Mutual First FCU,,,397900,242000,,,2,1,639900,3
Farmers Bank of Northern Missouri,,350000,87000,200000,,1,1,2,637000,4
Commercial State Bank of Wagner,,,,635000,,,,2,635000,2
Savings Bank of Walpole,80000,330000,7500,216000,1,3,1,1,633500,6
Infinity FCU,632240,,,,6,,,,632240,6
SpiritBank,70000,300000,262000,,1,1,1,,632000,3
Wolf River Community Bank,,630000,,,,2,,,630000,2
Lake Community Bank,,469194,,160000,,2,,1,629194,3
Greater Community Bank,382200,,244000,,2,,1,,626200,3
Town & Country Bank and Trust Company,,526100,,100000,,4,,1,626100,5
First National Bank of Scotia,,525000,,100000,,3,,1,625000,4
"Neighborhood Lending Partners of West Florida, Inc.",375000,250000,,,2,1,,,625000,3
Centra CU,40000,,514600,69000,1,,5,2,623600,8
"First State Bank and Trust Company, Inc.",,620500,,,,4,,,620500,4
Reading Co-Operative Bank,,50000,570000,,,1,2,,620000,3
Think Mutual Bank,150000,220000,,250000,2,1,,1,620000,4
Oregon State CU,,,,618400,,,,2,618400,2
"Welch State Bank of Welch, Oklahoma",,29000,308000,280000,,1,2,2,617000,5
Kingsley State Bank,,616200,,,,1,,,616200,1
"Interstate Bank, ssb",,,302000,313600,,,2,1,615600,3
"Hometown Bank of Corbin, Inc. d/b/a Hometown Bank",,,613700,,,,2,,613700,2
Laona State Bank,,146000,170000,295000,,1,2,1,611000,4
The Lake Bank,,610000,,,,2,,,610000,2
The First National Bank of Cokato,,606900,,,,1,,,606900,1
OneAZ CU,,,603000,,,,2,,603000,2
Merchants & Marine Bank,,,400000,200000,,,3,2,600000,5
Renaissance Economic Development Corporation,250000,250000,100000,,1,1,1,,600000,3
The First National Bank of Long Island,400000,200000,,,2,3,,,600000,5
Liberty Bay Bank,280000,318000,,,2,2,,,598000,4
First Nations Bank,597400,,,,1,,,,597400,1
Sandhills State Bank,,,597400,,,,3,,597400,3
Marathon Savings Bank,,302500,150000,143600,,3,1,2,596100,6
Members Cooperative CU,361500,50000,,184000,3,1,,1,595500,5
"Community Bank of Wichita, Inc",162000,125000,307000,,1,1,1,,594000,3
CornerStone State Bank,,588000,,,,1,,,588000,1
Mechanics Savings Bank,,75000,,510000,,1,,2,585000,3
"First Federal Community Bank, National Association",40000,200000,250000,90000,1,2,2,1,580000,6
Urban Partnership Bank,,,350000,230000,,,2,2,580000,4
Security First Bank of North Dakota,,,,578500,,,,3,578500,3
Bay State Savings Bank,,,577200,,,,3,,577200,3
Pathfinder Bank,,,496400,80000,,,3,1,576400,4
Guaranty Bank & Trust Co.,,,125000,450000,,,1,1,575000,2
Detroit Development Fund,,,573000,,,,3,,573000,3
Rural Community Assistance Corporation,295900,65000,210000,,2,1,2,,570900,5
St. Jean's CU,,,120000,450000,,,1,2,570000,3
First Internet Bank of Indiana,,,,567200,,,,1,567200,1
Three Rivers FCU,,50000,325000,189000,,2,2,2,564000,6
SSBBank,,,563000,,,,1,,563000,1
North Easton Savings Bank,,,560000,,,,1,,560000,1
Germantown Trust & Savings Bank,,,,558400,,,,1,558400,1
First Iowa State Bank,,,555500,,,,1,,555500,1
Envision Bank,,55000,500000,,,2,4,,555000,6
Missoula FCU,,,290000,262400,,,1,1,552400,2
Align CU,100000,250000,200000,,1,2,1,,550000,4
Demotte State Bank,,550000,,,,1,,,550000,1
"Mountain Valley Bank, National Association",,550000,,,,2,,,550000,2
Minnesota Lakes Bank,,550000,,,,3,,,550000,3
Plaquemine Bank & Trust Company,,300000,250000,,,1,1,,550000,2
Adams County Bank,548000,,,,1,,,,548000,1
Gateway Commercial Bank,150000,350000,47500,,1,2,1,,547500,4
Chemung Canal Trust Company,104400,440000,,,1,2,,,544400,3
American Trust & Savings Bank,50000,144100,,350000,1,1,,2,544100,4
Mid-Minnesota FCU,71601,,,472200,2,,,4,543801,6
Southwest National Bank,,148000,395000,,,1,2,,543000,3
Granite State CU,,30000,380000,130000,,1,2,2,540000,5
Webster Five Cents Savings Bank,150000,336300,,50000,2,4,,1,536300,7
The First National Bank and Trust Company,,,,535900,,,,2,535900,2
Farmers & Merchants State Bank,,,,534900,,,,2,534900,2
Cross Keys Bank,,149000,,385000,,1,,1,534000,2
Kohler CU,,75000,459000,,,1,4,,534000,5
Cyprus FCU,75000,,247500,210000,2,,3,8,532500,13
Labette Bank,150000,321500,20200,38800,1,4,1,1,530500,7
Citizens Bank of Kansas,248200,,280000,,2,,1,,528200,3
Ladysmith Federal Savings & Loan Association,88000,140000,,300000,1,2,,1,528000,4
Vantage Bank,,141900,244000,140000,,4,2,2,525900,8
Four Corners Community Bank,,175000,349800,,,1,1,,524800,2
First State Bank and Trust,518500,,,,2,,,,518500,2
The Bank of Herrin,,,517000,,,,1,,517000,1
